Name,Rating,Time,Review Text
"Indy Rauf","1 bintang","sebulan lalu","Tape paket so dri 5 hari yang lalu nda dtg2 antar serta kt ka kntor mo ambe paket ad 3 cumn 2 yg dong dapa, akhirnya dong bilang nanti kurir antar tu 1, eh pas pe lia kmri di akun tiktok dong so retur ulng tpe brang. Memng ngoni ini?"
"violetmein","1 bintang","sebulan lalu","suka sekali mo maki2 kurir di wa, mar sudah jo cuma bekeng lalah"
"B Maronz","1 bintang","sebulan lalu","KEODE,, PENGIRIMAN GAGAL TERUS. NDA ADA KONFIRMASI APA2 DRI KURIR. KALO NIMAU BA ANTAR RESIGN JOO"
"Firda Razaq Piter","1 bintang","11 bulan lalu","Nntau ini yg malas dpe kurir mba antr paket ato ap sllu b pesan paket nd mo smpe² di tmpa cma abis di chat mls sx mmng mo krj klu nd niat krj nd usah jdi kurir, tiap mo pesan paket kg sllu mpgi ambe di kantor sdgkn paket COD"
"Penk Paath","1 bintang","setahun lalu","paket cod sruh ambe d'kantor ini gila dpe nma kurir sruh tggu blang mo antar abiz itu blang bso,, memang dpe kurir cma jga …"
"Chandra L","1 bintang","2 tahun lalu","Barang saya kayak bola! bolak balik ke gudang sortir lagi, seharusnya kirim ke jnt yg di komo luar. Yg bikin emosi juga pelayanan CS di komo luar bikin emosi (cs yg bertugas 11 Jan 2024). Jutek! Tidak ramah! cari cs yg cocok buat melayani nasabah. Jadi biar barang lama sampai setidaknya gak tamba emosi liat cs kayak gitu!"
"Nafisya Khumaira kaluku","2 bintang","10 bulan lalu","Tpe paket ksng so 2 hri ngo nd antar cmn bkrim pesan 1x kng serta kt blas kt tlv ngo nd angka kt perlu itu paket mo ambe bukang nynda"
"VIERI SASUE","1 bintang","setahun lalu","Mines di Pelayanan, Barang smo 20 Hari ada Sampe mar nd ada tindakan selanjutnya...pas check dpe CS rupa nd niat krja cma jaga tdor"" msti kse bngun klo mo tnya paket ... Kng dpa arahkan ke tmpat yg nd jelas kantor yg so tutup...hdehh cms bkeng susah orng yg ada pesan"
"rivaldi gobel","1 bintang","2 tahun lalu","Pelayanan sangat buruk Barang status semntra pngtaran oleh kurir sampe skrg nda dtg2 di alamat Serta cek di kantor talalu banyak alasan musti tunggu kurir lah karena cuma …"
"Mahfut Timbalo","1 bintang","setahun lalu","Status pesanan ""Sedang diantar kurir"". Mar sampe sekarang kurir nda muncul².... Hadehhh🤦🏻‍♀️ Kalo kwa barang COD okelah santai, mar ini barang so bayar, somo pake mar nda diantar-antar …"
"Ivonne Voges","1 bintang","setahun lalu","Paket tdk pernah sampai kepada penerima tiba2 sudah dikembalikan ke penjual...kurang ajar"
"Ayu Andira","1 bintang","2 tahun lalu","Payahh sx depe pelayanan.. Masa barang so sampe di kantor blum sortir"" Riki tu paket somo di kembalikan hari terakhir besok.. Depe masa garansi blum jo dorang antar"" Riki kita so lamah ba antri.. Orang yg bru sampe dorang duluan layani.. …"
"Fahira Yanti Hamid","1 bintang","2 tahun lalu","so satu minggu nda antar2 tp paket smpe pas dtg di kantor blng so pa kurir serta pulang tggu le nd dtg tu paket 😔 …"
"Rio Fathur R","1 bintang","2 tahun lalu","Sayang ga boleh kasih bintang nol/kosong/bahkan minus, kalo ada pilihan bintang minus atau minimal bintang nol itu lebih layak dibanding bintang 1 sekali pun!!! …"
"jav pakasi","1 bintang","2 tahun lalu","Barang sompe di mndo dri tnggl 13 ampe skrng tanggl 17 drg nda mo antr2 kurang kita mpi amb di tmpa"
"Jivay Leon","1 bintang","2 tahun lalu","Pelayanan lama. Hari ini dilayani 1 customer 30menit.. SOP nya jelek sekali. Masa antrian sudah panjang hanya buka 1 admin."
"Leon Rasuh","1 bintang","2 tahun lalu","Parah, barang so di kantor tapi blum di antar Banya  skali alasan Tutup jo ni expedisi"
"eyik piri","1 bintang","2 tahun lalu","Minta tolong dg yg ja ba antar area tikala, yg dpe rambu karibo"" ganti jo pa dia so bnya kali beking resah"
"ArapMacqlum Official","1 bintang","2 tahun lalu","So 2 jam da btggu barang, pelayanan tlalu slow, tutup jo ni ekspedisi"
"Rifka Gaming","1 bintang","2 tahun lalu","So nda bisa berkata-kata, biar jo bintang yg berbicara👌🤬 dg klo blh leh nda mo kse Bintang sama skli …"
"Mina Myoui","1 bintang","2 tahun lalu","Mai kurir lama skli ja antar barang"
"kisah sondakh","4 bintang","setahun lalu","Tengah kota,pelayanan terlalu banyak menunggu dan be rharap dijemput oleh pemilik"
"Sugeng Ramina Putra","2 bintang","2 tahun lalu","Perlu perbaikan untuk meningkatkan pelayanan karena antrinya terlalu lama"
"Fitry Lalele","1 bintang","2 tahun lalu","Tutup jo kalo pamalas ba antar barang ngoni"
"putra franklin","1 bintang","2 tahun lalu","Drop point terburuk, pelayanan tidak profesional, banyak alasan."
"Deden Sandiana","1 bintang","2 tahun lalu","Pe pendi skli ni pelayan dsini,,  lama skli bukan mainnnn ,,,"
"Riccy Wayan","1 bintang","setahun lalu","Pelayanan buruk"
"Ilyas Ruhiyat","5 bintang","2 tahun lalu","So pindah disini"
"Akbar “Abay” Dunggio","1 bintang","sebulan lalu","Kakiku patah."
"Irwandi Guritno","5 bintang","2 tahun lalu","Oke."
"Erni Mokodompit","5 bintang","2 bulan lalu",""
"Alexsinta Sumeisey","5 bintang","3 bulan lalu",""
"Timothy Palandeng","1 bintang","6 bulan lalu",""
"4M Channel (Mee Nelwan)","5 bintang","setahun lalu",""
"Khevin Paendong","5 bintang","setahun lalu",""
"Leonardo Takaweyan","5 bintang","setahun lalu",""
"Rijai Gianfranco","5 bintang","setahun lalu",""
"Junior Lasabe","5 bintang","2 tahun lalu",""
"Elena Suga Hendi","1 bintang","2 tahun lalu",""
"Cornelia Wowor","5 bintang","2 tahun lalu",""
"iFan Haryanto","5 bintang","2 tahun lalu",""
