Name,Rating,Time,Review Text
"Miggi Plg","1 bintang","2 bulan lalu","Paket saya tidak pernah datang dan infonya pengiriman di tolak padahal belum pernah di antas sama skali"
"Rosa Kandiak","2 bintang","3 tahun lalu","Kiriman saya sda sejak tgl 30 JUNI KZOK BELUM SAMPE2 Padahal bayarannya mahal tdk sampai satu kg dihitung 1 km x 4 40.000 per kilo jadi 160 ribu blm sampe2 tolong di perhatikan pimpinan🙏🏻🙏🏻🙏🏻🙏🏻 …"
"Candy Kurniawan","1 bintang","4 tahun lalu","PELAYANAN SANGAT BURUK, PAKET DITAHAN SELAMA 4 HARI DI CABANG INI TANPA KEJELASAN!! PENANGANAN YANG BERBELIT BELIT HARUS DIJELASIN PANJANG LEBAR STATUS TRACKINGNYA BARU KEMUDIAN PAKETNYA DI CARI DAN ITUPUN HARUS MENUNGGU BEBERAPA JAM BARU …"
"Hestiwati Basir","1 bintang","setahun lalu","Kurirnya sudah telpon dari minggu lalu, sdh nanta alamat , rumah warna apa, cat pagar warna apa,dll .. hingga skrg blm diantar. Aplgi itu tumbuhan, hrs cepat ritanam. Bgmn ini kurir . Sy kecewa."
"Ora Chanel","1 bintang","4 tahun lalu","Paket sudah tiba tapi tidak diantar antar kurir, alasan sudah melewati jam operasional. Padahal paket status sudah di antar kurir dari pagi. …"
"Risto Jaristo Towounusa","1 bintang","7 bulan lalu","So Biasa Ba Pesan ,Mar Baru kali ini pesanan lama skali muncul.."
"Gabriela Rantung","1 bintang","2 tahun lalu","Barang sampai di Manado dri tgl 18 Desember tapi sampai sekarang nda di antar tapi di aplikasi keterangannya sudah reschedule dengan customer, pdahal tidak ada konfirmasi sama sekali!! …"
"Naomi Bindu","1 bintang","3 tahun lalu","Payah oknum kurirnyaa!! 👎👎👎 Kalo tidak niat kerja dibagian jasa pengiriman lebih baik cari pekerjaan lain saja, Tidak punya atitude yg baik!! …"
"Lia julia sumaraw","1 bintang","2 tahun lalu","Hadde kurir kurir tidak berfaeda main asal cancel barang padahal konfirmasi pengantaran barang saja tidak e tau taunya pas di cek sudah di cancel kerja kyk gak kerja"
"Nyong Wowor","1 bintang","3 tahun lalu","Kurir atas nama Siapa yang pengiriman di  Teling Tingkulu Lorong 1?? Kenapa saya belum pernah terima paket, dan kurir belum pernah menelepon ke saya... Tapi di aplikasi Shoppe sudah tertera barang sudah di terima... Dan saat lihat bukti …"
"Nafa Suluh","2 bintang","3 tahun lalu","Pelayanan besae skli dri depe karyawan di kantor smpe dpe kurir nda ada sopan kmri. Dpe kurir lagi tiap tanya paket cuman ja suruh pi ambe di kantor. Yg tamo tanya sini sebenarnya kurir pe kerja apa? Mo antar paket to bukang mo prenta pa trg for ambe sndiri di kantor. Aneh mmg"
"dailerthxxx","1 bintang","3 tahun lalu","pelayanan sangat buruk, status paket “kurir sedang menuju lokasi anda” tapi di tunggu dari pagi sampai sudah malam tak kunjung tiba, kurirnya tidak menelpon… sudah chat di drop point nya malah tidak ada respon sama sekali."
"Marcella Ponto","1 bintang","3 tahun lalu","Pengiriman 2 pkt hanya dlm mdo shrusnya 1h so smpe mar dpa rasa pngiriman dr luar manado. Hub nmor kantor nda tasambung,hub kurir 2 org nmau jaga angka tlp,chat wa nmau bls. kong nntau drg mo antar kpn ni brg 😠 klo qw pemilik blm trima brg …"
"Rocky Latuny","1 bintang","3 tahun lalu","Beberpa pengiriman yg lalu brang kurang ambe d kantor, 2 pengiriman terakhir masalah terus, katanya alamat nda ditemukan kg abis itu status barang sdh d terima mar nnthu sapa yg trima kg dpe almat penerima lgi nda sesuai."
"Nadia Pelealu","1 bintang","4 tahun lalu","3 hari paket so sampe nda ada kurir bbkabar serta pigi langsung disana dorang cuman sebiar slalu bilang admin nda maso so brapa x ta bale2 tiap jam bble b cek cuman dpa sebiar"
"Steve Dante","1 bintang","4 tahun lalu","Bilang so pa kurir, serta tlp pa kurir nda angkat angkat deng nda kirim kirim leh. Trs tes tlp pake nmr lain kurir angkat mar ttp nda kirim kirim leh. Riki so bola bale kantor tetap nda ada tanggung jawab. Kalau blh minus bintang mo kase …"
"Angelia Gabriela Limangi","1 bintang","3 tahun lalu","Barang drg retur ulg padahal so pesan bagus2 sampe penjual bilang kiapa kata kase bale ulg tuh barang .. padahal drg ndak antar2 di rumah .. baru paket so bayar drg so selesaikan padahal ndak antar2 kurang pi ambe di kantor .. kemarin lagi …"
"Lanny Karundeng","1 bintang","3 tahun lalu","Untuk kesekian kalinya kecewa dengan jasa pengiriman jnt express teling, kira le taon baru kong kantor baru trus tu pelayanan dg jasa kurir so berubah jadi lebe bagus kong ada niat kerja bagus, yahhh lebe bajadi kote 🫠🫠 …"
"Jolanda Nadya Tatengkeng","1 bintang","2 tahun lalu","Baru kali ini di prank J&T, barang tidak dibawa ke customer tapi keterangan barang ditulis rescheduled customer padahal dari kurirnya tidak pernah hubungi saya, malahan saya yg hubungi chat kurirnya tapi cuma di ghosting wkwkwk"
"Zuzu Zero","1 bintang","5 tahun lalu","PELAYANAN  SANGAT BURUK!!! lain kali kalau tidak bisa menerima pengantaran barang langsung ketujuan jangan menerima orderan.  Barang COD dibayar dlm jumlah yg besar sudah smpai 5 hari dan dilunasi langsung tidak diantar ketujuan.  TIDAK ADA TANGGUNG JAWAB DAN KONFIRMASI dari pihak J&T.. SANGAT BURUK DAN MERUGIKAN!"
"Enrico Yoel Landjang","1 bintang","4 tahun lalu","Pelayanan buruk. Pengantaran sudah melewati batas waktu dan tidak ada konfirmasi dari kurir untuk pengantaran dan sampai review ini ditulis barang yang dipesan tidak sampai ke penerima"
"Sindy Bella","5 bintang","4 tahun lalu","kurir telpon paketnya sudah mau diantar , ujung-ujungnya saya yang ambil paket sendiri. Tolong pelayanannya kedepan diperbaiki lagi."
"Zulkifli Tarimakase","1 bintang","setahun lalu","Pelayanan Kurang maksimal,, paket sudah 9 hari belum tiba, padahal pakai EXPRES 3 hari"
"Esri Namangge","1 bintang","4 tahun lalu","so boleh tutup jo ini j&t express teling, nda bertanggung jawab skali. barang ditahan sampe berhari-hari, bukan hanya 1× tapi so berkali-kali. BIG NO skali! tanggung jawab cepat antar tpe barang."
"Delsa Pantow","1 bintang","setahun lalu","Paket so 2 Minggu blm di antr"" terus di nyatakan hilang 😭 …"
"Rey Rumimper","5 bintang","3 tahun lalu","for yg minta"" tutup jo ini kantor s terkabulkan ngoni p doa 🤣🤣 s ttp drg p kantor ini kong pindah di yg lbh jao jadi yg ada rencna m ambe paket sandiri di kantor b kira jo 🤣🤣😅 …"
"Puppy Pi","1 bintang","Diedit 4 tahun lalu","PENGIRIMAN BURUK ! KURIR DAN PEGAWAI TIDAK PROFESSIONAL SUDAH BANYAK DROP POINT JNT TAPI INI YANG TERBURUK SELALU ADA KENDALA JIKA MENGGUNAKAN JASA PENGIRIMAN INI …"
