Name,Rating,Time,Review Text
"Pascal David","1 bintang","sebulan lalu","Sy pesan dua paket penjual berbeda sekaligus. Satu minggu sy tunggu barang tidak pernah dikirim, kurir tidak bisa dihubungi sampe satu paket harus retur tanpa konfirmasi dan tanpa pernah sampai di alamat sy. paket lain sy dapat stlh ambil …"
"Aca M","1 bintang","sebulan lalu","Kurir tidak mau antarkan paket. Drg suka  konsumen yang datang ambil sendiri paket di kantor J&T Express. Dpe pelayanan Beda dengan j&t samrat."
"hesty octafiri","1 bintang","3 bulan lalu","Berturut"" wa masuk mau antar barang..kita respon dan kita tunggu tapi tidak pernah datang..hari ke 4 bilang sdh di retur alasan sudah tidak ada kurir..mereka hanya pegawai gudang yg menghubungi saya.....sangat tdk Profesional dan kadihan sama toko yg kirim barang"
"Ahmad Murtadi","1 bintang","3 bulan lalu","Kurir tidak mau mengantarkan paket. Maunya konsumen yang datang ambil sendiri paket di kantor J&T Express. dasar PEMALAS. Kalau tidak cakap dalam bekerja, mending resign kurir tsb !!!"
"Vinsmoke Sanji","1 bintang","sebulan lalu","Kurir a/n Eko Prasetyo cara kerjanya tidak profesional, hampir semua pesanan saya di bulan Desember diretur."
"Yanter Andhika","1 bintang","2 bulan lalu","Se bgus sdiki ngpe cara ba layani orng neh prampuang kurus pke hijab,sopan sdki dng ngpe nada bcirita se turun sdiki. Dtng bkirim brang ini bkang dtang pngge bku tmbu dng ngna"
"Perdi Febrian","1 bintang","3 bulan lalu","j&t cabang wanea sangat sangat lambat paket saya ngendap di sana 2harian belom di antar antar kalo dpe tidak niat bekerja pada resign saja org beli paket pake uang org butuh tu paket kita ongkir bayar"
"Indry Inry","1 bintang","4 bulan lalu","Pelayanan bisae skali, mo ba byr cash masa dpe kasir nda ada doi kase pulang? Kong muka pe jutek skali deng ba senyum mar nda. Dpe cara ba layani leh pe kasar ja ba jawab. Dpe kurir leh nda ada dpe tanggung jawab, barang harusnya dy antar …"
"Scraby","1 bintang","7 bulan lalu","Ambil paket nunggunya lama bgt, pengiriman sempat tertahan dan tertunda sampai harus inisiatif jemput paket"
"Rachell Sss","1 bintang","4 bulan lalu","bayangkan itu paket so urgent skli kasiang mar depe kurir dg bls chat nd pdhl so sampe tlpn sengaja nd dbls"
"Steven Ricardo","1 bintang","7 bulan lalu","Pelayanan sangat lambat tidak jelas, sortir sangat lama, management barang tidak rapihh, parahhhhhhhhhhhhhh"
"Queency Velicya","1 bintang","6 bulan lalu","PELAYANAN SANGATT TIDAK BAIK TIDAK ADA KESOPANAN !!!! kalo nd niat nd ush bukaaa ni tmpaa, cuma te bkg berdosa org dg klkuan nd terdidik nd ada kesopanan tu diaa, heh sm’ mkg nasi nd ush mkg puji ."
"Arsyad Manan","1 bintang","3 bulan lalu","Kurir slow respon, barang tidak di antar sesuai tgl yang di tentukan"
"jovan ndruru","1 bintang","5 bulan lalu","paket sudah sampai tapi tidak di antar, status paket tidak jelas, katanya tidak ada di sini tetapi jelas jelas dari pihak ekpedisi klo paket ada di sana. mucul alasan salah sortir."
"Liny Tambajong","1 bintang","2 tahun lalu","Beberapa kali pengiriman J&T harus datang jemput sendiri di kantornya karena tdk kunjung tiba. Tidak profesional"
"Syaren Mulingka","1 bintang","sebulan lalu","Kurir nda jaga respon klo ja chat akang"
"Euodia Talita Tahendung","1 bintang","8 bulan lalu","Kalo nd ada niat kerja lebe bae tutup j kasiang, org p paket s bayar nd dianatar2 bkg COD tu barang!!!s pesan kurir pigi di kantor dpe admin nd ad dri kmrin s bb cht suruh ambe sndiri!!!"
"Ilham Sangaji","1 bintang","2 bulan lalu","Ba kirim paket musti bongkar dlu dpe packingan, segalarupa"
"M Luthfi Al Ghozali","1 bintang","11 bulan lalu","Sangat buruk, saya sbagai penjual dari jatim sudah di rugikan, paket di tahan di gudang sudah 4 hari tidak di antar ke pembeli pdahal pembeli sudah menunggu, saya follow up kurir sama kantor cabang gak ada respon sama sekali, emang …"
"Owen Kukus","1 bintang","5 bulan lalu","pelayanan lama skli,cma sibuk bcrta"
"Dewa Losmen","1 bintang","setahun lalu","Slow respon, barang tidak diantar harus konsumen yg datang k kantor"
"Christine Liuw","1 bintang","7 bulan lalu","Paket tidak pernah diantar kurir, padahal bukang paket COD, akhirnya dikembalikan ke seller"
"Yayan H Sue","5 bintang","2 tahun lalu","Adminnya mantap biar barang krodit dan customer banyak yg antri dia tetap tenang selalu ceria di depan customer"
"Grace Natasha","1 bintang","7 bulan lalu","Sangattt buruk kk!!!!!!! Kurir kelakuan buruk !! Paket di tahan2 nd di antar2 berhari2 nd ad kejelasan dari kurir nda ad info dari kurir ! Tolong tutup JNT ini !!"
"Aurilia Ante","1 bintang","setahun lalu","Sangat parah , paket saya kemarin keterangannya di antarkan kurir sudah cht tapi di saat saya chat dan tlpn kurir tidak ada respon sama sekali dan akhirnya paket saya di nyatakan informasi salah padahal kurirnya ngk ada respon apapun atau …"
"egi twentynine","1 bintang","7 bulan lalu","pelayanan paling buruk, paket so 2 minggu nyanda antar2. putar baleeee👎 …"
"Brvndo Gaming","1 bintang","4 bulan lalu","satu satunya kantor J&T yang pelayanannya paling buruk"
"Sella Sella","1 bintang","4 bulan lalu","sikap driver di whats up kurang baik dan tidak merespon jika di tanya"
"Erlando Beba","1 bintang","3 bulan lalu","Pengantaran sangat lambat dan slow respon"
"Warspite","1 bintang","8 bulan lalu","If you ever feel useless, just remember that this place exists.  Imagine being a warehouse without a courier. …"
"Aen Neryon","1 bintang","setahun lalu","KURIRR MALASSSS!!!! baru 1x b antr ada minta tolong antr ulang nmau so wa” kse tau nd ad mtor mpi ambe d kantor nd mo respon,bkg apa dang ad pesan pket pke expedisi klo dpe kurir malasss !!!! MINES SX J&T yang cabang ini , pdhl so biasa pke in expedisi mr ta soe paket ta singgah di cabang ini !!!!"
