Name,Rating,Time,Review Text
"Mathew Yosua","1 bintang","2 minggu lalu","so amper dua minggu paket da tunggu (so bayar) depe las kurir blg dtg ambe sndiri,,, sadap mo beking konten akang ni jnt ini, tggu jo"
"David Love","1 bintang","4 minggu lalu","Pelayanan sangat buruk. Paket saya tidak diantar ke alamat tanpa penjelasan jelas, hanya diberi status gagal. Setelah dicek, ternyata banyak sekali keluhan serupa dari penerima lain …"
"Florecita Palangda","1 bintang","sebulan lalu","THE REAL kurir nda sopann sama skli, baru ini jnt pe kurir nd sopan bgni wkwk, sllu konfirmasi tu paket mar nda ada balasa sama skli kong thri so pernah bku ambe di cht dia blg nd ad kurir yg mo ba antr bgian malalayang 1 kong ngni d kerja …"
"Vivie Ireyke","1 bintang","sebulan lalu","Paket berhari2 tidak diantar statusnya on hold terus. Kapok pake jnt padahal cm pengiriman dalam kota, so 1 minggu blm sampe2. Kurir so chat dari beberapa hari katanya mau diantar tapi paketnya nda diantar2. Saran jangan pake JnT lagi"
"Marlin Rahman","1 bintang","2 bulan lalu","Untuk kurir bernama evanmiliamsasela Jaga antar KWA kita p paket itu paket so byar mar ngoni ninmau antar.nda ad konfirmasi dari wa.tiba""ada cek di apks pengiriman besok ulang.bgmn itu???"
"Jesicca Tendean","1 bintang","2 bulan lalu","Ekspedisi bagus. Tapi kebanyak KURIR PEMALAS, NDA ADA SOPAN SANTUN, SEENAKNYA MO ANTAR PAKET ATAU TIDAK!! Cuma 1 2 kurir yg rajin dg bagus. Saran, Kase trening dg pilih bae2 tu kurir yg suka kerja bukan kurir yg cuma …"
"Anggreka Karinda","1 bintang","2 minggu lalu","Paketnya tidak di antar2 tuba2 di retur padahal so di bayar 🔥😡😡😡🥵🤬 kurir2 maalassss …"
"Megan Rumawak","1 bintang","2 bulan lalu","Barang sdh tiba dari hari sebelumnya tetapi tidak diantar kealamat. Saat saya priksa ke kantor mereka bilang barang saya sudah di kembalikan karna sudah lewat tiga hari, saya sudah tunggu lama padahal"
"Abdiel Queen","1 bintang","2 bulan lalu","Parah,  kata kurirnya mmau di antarkan skarang. Smpe skrng, malahan wa sdh di nonaktifkan. Padahal, saya slalu pke jasa J&T. Kurir ya, diganti aja, ngga becus. Kemarin alasan hujan sdh bsa kuyup. Padahal pengantarannya cma di sea... Parah skali kurirnya..👎👎👎👎👎👎 …"
"junivi melisa Landu","1 bintang","2 bulan lalu","Bayar ongkir untuk pengiriman standar dan sampai ke rmh, tapi sdh 3 hari paket tidak di kirim"". Alhasil harus ambil paket langsung ke kantornya. Untuk apa bayar ongkir lebih?"
"Arjuna Pinilas","1 bintang","3 minggu lalu","Para kurir sangat mengecewakan tidak antr paket malah di kembalikan ke tokonya .."
"riska Mhmud","1 bintang","sebulan lalu","NGO klo so nd suka krja sdh Jo krja org pe paket NGO nya antar"" dari so bulan lalu, kg NGO retur tanpa sepengetahuan tuan paket"
"Gina Baeruma","1 bintang","2 bulan lalu","Sortir ulang itu kurir minimal S1 spyah ad dpe attitude sopan dan santun. Setiap kali mo antar barang telat molor PHP tidak santun!! Mungkin lulusan SD SLTP atau cmn SMA/SMK jadi dpe nilai etika dalam bersikap dan bekerja sangat minim"
"Ledy Lampus","1 bintang","3 bulan lalu","ada salah satu kurir yg kurang ajjaarrr disini kng,, pang manyao,, bilng so antar tp di sana bilng blm antar antar tu barng kong masi mengelak lagi,, Sungguh kurng bagus koman tu kqryawan model bgini ( Crst ) inisial joo dpe nama"
"Mario Theo","1 bintang","2 bulan lalu","dimohon dengan sangat kepada kurir"" JNT untuk ba info dlu klo mo antr paket sblm return, soalnya so 2 tpe paket ada ta return padahal nynd ada info dari kurir kalo paket smo antr +leh kt bcht pa kurir yg sdh disertakan nomornya yg akan …"
"yusma momy Elmar","1 bintang","5 bulan lalu","Kurir seenaknya retur barang dgn sesuka hati. Ternyata bukan hanya saya yg dia bikin begitu. Klo nda bisa antar ya bilang jgn main retur seenaknya 😡. Bgmn klo itu obat yg sangat dibutuhkan 😩!! …"
"Nova Tambayong","1 bintang","4 bulan lalu","Kurir pamalas so berhari"" tu paket nda antar"" klo nd niat kerja sudahjo, kerja laeng jo jngn jadi kurir"
"Hana Djunt","5 bintang","5 bulan lalu","Sèlamat siang, td Kakak saya mengirim paket, salah pd penulisan alamat yang seharusnya III romawi menjadi 111 oleh petugasnya, sementara Kakak saya sudah jauh dlm perjalanan. Itu gimana ya Kak ? …"
"BAPONTAR BABARON","4 bintang","setahun lalu","Hari ini datang kirim paket dilayani dengan baik bahkan sebelum jam buka. Semoga bagini trus depe pelayanan bahkan lebih di tingkatkan lagi."
"Aswar Pomalingo","1 bintang","6 bulan lalu","Ada salah satu kurir di sini pamalas bba antar barang.. Jati"" Joo gessss.. Nda rupa kurir di cabang JNT lain, yg di sni tlalu anehh.."
"TaniaTara Kamal","1 bintang","3 bulan lalu","BURUK SKALI NI EKSPEDISI LALAI DALAM PENYORTIRAN BARANG!!! CIH SO BAYAR ONGKIR TERUS DI SURUH BAYAR ONGKIR LAGI DENGAN ALASAN  SO NDA MASO DORANG PE JALUR!! JELAS² DI ALAMAT SO TARU LENGKAPP!!! WIN LOOSE SOLUTION JADINYA DONG SO 3× KEJADIAN …"
"Grace K","1 bintang","2 tahun lalu","Kase gaji pokok jo kw pa kurir. Kurir ja maraju ba off kng trg sbg penerima ja terima getah, alhasil sampe 1 mgu nd antar2. Serta dtg tu org rupa pasar ba tgu2 paket mo dtg ambe sdri. …"
"Sifa Pakasi","1 bintang","2 bulan lalu","kurir nama BURHAN malas antar paket malah suru ambe sndri"
"Christa Lakaina","4 bintang","6 bulan lalu","Bgs dpe Ekspedisi capat, yg bekeng nda bagus dpe slh 1 kurir, sorry sblmnya, cuma klo memng nda m dpa antr biar jo nnti m pgi ambe sndiri di kantor, da cht"" dari pagi smpe sore nda bls da tlfn nda angka"" kong bgmna le, posisi dmo plg kmpung, dbku tunggu dri pagi riki so sore doe"
"Fibryanti Stella Sepat","1 bintang","4 bulan lalu","Kurir sangat tidak sabar pelayanan kurir kurang baik atitude masih sangat mines sekali"
"PiereLouisKarinda PiLoong","1 bintang","8 bulan lalu","Kurir nya berapa kali barangku di kembalikan lagi pdahal udah mau di pake ,, mereka cuma chat sekali pket mau di antar dan telpon sekali kalo ga ada respon langsung cabut aja"
"Wanda Lolong","1 bintang","7 bulan lalu","Pelayanan buruk sekali paket selalu gagal kalau mau pesan di j&t express malalayang ini buruk dan kurir sangat lambat dan sangat sangat tidak proporsional buruk buruk rupa"
"Velo","1 bintang","sebulan lalu","KURIR GAK ADA ATTITUDE, BELUM ADA KONFIRMASI TAPI SUDAH DI RETURN!"
"andien fini","1 bintang","2 tahun lalu","karyawan tidak sopan, barang sudah 3 hari sampai . sudah bolak balik mau ambil paket tapi tidak di layani."
"Christin Regina Suatan","1 bintang","setahun lalu","Jadi ceritanya kurirnya sudah ambil barang saya, trus kurirnya sakit. Trus barangnya tetap sama kurirnya dongs… terus saya menunggu…. Mungkin mau nunggu sampai kurirnya sembuh, baru mau diantar barangnya. Tapi sayang banget, barang sudah …"
"chacha karisma27","3 bintang","setahun lalu","tolonglah biasanya qt pke jnt p bagus dp pelayanan ini srta pke jnt yg di mllyg qt p paket drg ndk antar"", pdhl nomor da kse so btul kong blg qt p kontak yg slah. …"
"Jim P (Bronx1108)","1 bintang","setahun lalu","Kiapa tu kurir rata"" samua pe 1x antar paket, berikutnya biar mo tlpn dgn mo chat 1000x tetap drg nda respon padahal chat da maso deng tlpn berdering mar nda respon? …"
"Hermawan Lumanaw","1 bintang","setahun lalu","Tolong paket so sampe dari pagi ndk antar"" pas lia di app jnt ket alnmor pelanggan tidak sesuai kase pasti jo so lama da pake tu nomor masa mo bilang tidak sesuai ja jujur jadi org kalo mo kerja org p doi da bli barang tudia ndk pi minta p ngo"
"esther hesty","1 bintang","10 bulan lalu","Pelayanan jelek,. Paket saya sudah 3x dikembalikan ke penjual. Kurir tidak respon tiba2 paket sudah dikembalikan."
"Nansi Nansi","1 bintang","2 tahun lalu","Barang so lama di kantor pa dorang nyanda antar tapi kalo tracking so di antr kurir, ternyta update palsu, kurir nd maso mar dorang update kurir so antar, serta pigi ambe sndri di kantor p dorang, dorang nd kase tu barang dengan alasan so …"
"V I R G O 03","1 bintang","Diedit 2 minggu lalu","Pelayanan chat terhadap customer tidak baik, slow respon . Kurir juga ndk smua bagus,. Ada pun yg bagus Mar cpt brenti . Mungkin ndk betah deng JNT pe kinerja.. …"
"Finky IL Palakua","1 bintang","setahun lalu","So ke 3x ini kjdian pngantaran paket smpe skrang nda ta sopu tu pket. Prtma ba pesan di shopee dpe pmberitahuan so antar da tunggu smo 1minggu kage2 so return tu pket. Pdhal smua da psan barang pnting. Skrang dpa konfir dri kurir ba stay …"
"Jun Sumampouw","1 bintang","setahun lalu","Kondisi pelayanan sangat buruk sekali tidak ada tata sopan santun nya,padahal mereka kerja di gaji lo parahhhh 👎👎👎 …"
