Name,Rating,Time,Review Text
"Rahmat Syafii","1 bintang","3 minggu lalu","kurir atas nama grenli pecat saja itu, nda ba hargai customer, da tunggu"" nda ada muncul, akhirnya taboe paket so dapa retur ke penjual, pe pastiu kita eee"
"Tocer Pieters","1 bintang","sebulan lalu","kurir tidak kompeten sangat mengecewakan karna harus menunggu lama, kalau belum mau di antar masih lama sebaiknya jangan dulu cht konfirmasi ke costumer kalau pengantaran masih 1 jam lagi. cht juga kebanyakan hanya di read saja tidak …"
"Victoria Sengkey","1 bintang","3 minggu lalu","ceritanya mo kirim paket. paket qt so bawa dikantor j&t bahu jam 2siang. so btunggu smpe jam 11 malam resi nda ada alasan admin so pulang jam 3 sedangkan qt bawa paket jam 2🤦🏼‍♀️ …"
"Sonya Fortuna","1 bintang","5 bulan lalu","Kurir dengan pelayanan buruk an Ramadan  Bermula!! Awalnya minta tlg di antar ke tempat kerja krna alamat yang di paket alamat rumah dan dia oke, abs itu sudah di tulis kalau apa bisa di antar jam 5 sore tidak merespond, tiba2 kurir lain …"
"Nia Vania (svtwi)","1 bintang","3 bulan lalu","lagi minta tolong buat supaya dapat segera kirim paket, kurir malah cuma read chat, nda balas, dan lama kirim paket, sedangkan saya lagi diposisi harus cepat terima paket agar bisa lanjut aktivitas lain lagi"
"Hizkia Rampengan","1 bintang","3 bulan lalu","Pelayanan tidak baik, kurir tidak ada kabar. Pas bsk konfirmasi sama kurir ambil paket di kantor, paket di bawa sama kurir lain. Paket yg sdh bayar bukan paket cod."
"Ratu Pratiwi Kamoda","1 bintang","sebulan lalu","Jasa kirimnya jelek skali, mohon jnt di evaluasi lagi kurir2 yang mengantar paket"
"Brian Kurumbatu","1 bintang","4 bulan lalu","Sblh ganti orng kantor Mba kirim barang blng snmblh pdhal sblm kt ada orng dba krm barang dng msi jam oprasional wkwk, dng alsan nd bisa mba kirim barang yg kta dbwa wkwk"
"Gerry Marthinus","1 bintang","4 bulan lalu","ba chat nd balas, kage"" paket so dikirim kembali ke penjual, merusak nama J&T ni cabang bahu in👊 …"
"Eko Febrianto","1 bintang","2 bulan lalu","Proses pengiriman barang lama sekali...dan sepon kurir gag berkualitas"
"Bunga Lestari","1 bintang","2 bulan lalu","Pelayanan sangat buruk sekali Semua staf tidak bertugas dengan baik Terutama kasir"
"Muh. Fadhli","1 bintang","3 bulan lalu","Admin atau kasir sagat lambat lalot cuman mau kirim dokumen nunggu 30menit"
"Friska Yulita Tewal","1 bintang","2 tahun lalu","Alamatnya tidak sesuai dgn Maps, apakah sudah pindah? Konfirmasi dong alamat terbaru di Maps, spy kurir malas antar bisa diambil di kantor. …"
"User Meeting","1 bintang","10 bulan lalu","Pelayanan BURUK!!! Kurir tidak mengantarkan paket dan meminta customer datang ke Kantor untuk pengambilan paket. Setelah customer datang ke kantor untuk mengambil paket jam 19.41, CS nya bilang ""sudah tutup"" padahal jam operasionalnya sampai 20.00 WITA👎 …"
"Vanesia Assa","1 bintang","10 bulan lalu","tidak ada konfirmasi pengantaran paket, tiba’ paket smo retur ke penjual, padahal so 10 hari da tunggu’ paket sampai seenaknya mo retur retur, KURIR TIDAK NIAT KERJA so coba hubungi tidak pernah respon!"
"Su Radi","1 bintang","9 bulan lalu","Paket tidak pernah di antarkan ke rumah,  ambil di kantor paket sudah di kembalikan, pelayanan pengiriman expedisi sangat buruk …"
"Felicia Maya","1 bintang","3 tahun lalu","Paket tdk pernah sampai, tdk ada konfirmasi by telpon. Cek di kantor Bahu sampai jam 9.15 pagi kantor belum buka. Sangat mengecewakan."
"Ferina Mokoagow","1 bintang","setahun lalu","Ini kurir d cht dg tlvn nd respon , paket so lunas itu ngo ini niat krja atw nd soe skli"
"manuela rareho","1 bintang","7 bulan lalu","nda ada knfrmsi apa""tiba""paket so retur, padahal ada bilang pdpe kurir itu paket nnti mpi ambe dikantor👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻 …"
"Melinda Pontororing","1 bintang","5 bulan lalu","Paket tidak di antar oleh kurir dan di batalkan oleh kurir juga"
"Mozal Gaghenggang","2 bintang","setahun lalu","Kurir tdk merepon wa dan barang sya di tahan sma kurir blm di antar sampai sekarang padahal barang sdh sampai dimanado tgl 21 sampai sekarang tgl 26 blm jga di amtar sma kurir sdh coba tfn da wa kurir tapi ngga di respon kurirnya bernama MH AWAL PUTRA RIVSA SYAHRIZAL."
"Deasy Pindan","1 bintang","setahun lalu","Paket tidak di kirim dan tbtb di kembalikan ke penjual, padahal sudah tunggu sebulan karna PO. Tolong jnt lebih berbenah lagi, baru kali ini di kecewain sama jnt. Di blg ke penjual kalau saya salah alamat, pdhl sebelumnya paket2 lainnya …"
"Jois Langkay","1 bintang","11 bulan lalu","Kurir nda niat kerja, malah ngegas pa cust habis itu suruh ambil sendiri di kantor barangnya truss buat apa bayar ongkir kocak"
