Name,Rating,Time,Review Text
"Dinar moul","1 bintang","sebulan lalu","ini bagaimana dp kerja,3 hari paket dapa tunda trss,kurir gampang²an mo kasi cansel itu pakett"
"Lihawa Nhyla","1 bintang","2 tahun lalu","Sangat mengecewakan,Berkali kali  paket slalu gagal di trima,.konfirmasi di kurir katanya so retur karna di antar TDK ada org di rumah.... Heee kurir2 yg terhormat kiapa mo antar paket Kong nya mo ba tlf dulu? Ngoni mau …"
"Lia julia sumaraw","1 bintang","2 tahun lalu","Perbiaskan di konfirmasi duluh dengan cs jangan langsung asal main cancel barang buat anternya saja tidak ada info sama sekali ee pas di cek tau taunya udah di cancel mending kalau cape kerja di rumah aja dari pada kerja kyk gak kerja"
"Andreas (Andre)","1 bintang","2 tahun lalu","paket nd pernah antar di alamat mar status  pengiriman selalu pesanan di antar ke alamat tujuan ujung’ paket gagal dikirim kg so reschedule dengan penerima nntau da reschedule bgmna model, dengan kurir hubungi penerima mar nda pernah, serta …"
"Lian Bagaray","1 bintang","2 tahun lalu","Pelayanan buruk!!! Saya tidak dihubungi sama sekali oleh kurir tapi status pengirimannya malah di update bahwa saya menolak pengiriman paket, hampir semua paket saya tidak diantar ke tempat saya malahan saya harus ambil sendiri di kantor mereka."
"Ririn Rianti","1 bintang","setahun lalu","Pelayanan buruk. Pengiriman terlambat ley giliran nda balas chat blm ada sto 5 mnt so kurang sama dc wa2.. dodoeeee"
"Billy Suatan","1 bintang","2 tahun lalu","pelayanan kurirnya kurang bagus....paket hanya sekali antar apabila tidak ada di tempat sudah tdk bisa diantar lagi,terutama paket cod..."
"Skolastika Pauta","1 bintang","2 tahun lalu","Da pesan 2 paket,paket smo 1 mnggu lebe nd antar"" bgmn le ini. Bcht pdpe kantor cma dpa read,bcht pdpe kurir cma jwb ""oh kt nd ba antr kw ini"" hi kg dg,ngni prong jo tu org"" pe paket dkntor. Pmalass smua ni kurir"",klo pmalas bgtu nd ush krja jo ngni."
"David Lihawa","1 bintang","2 tahun lalu","Kurir sangat tidak jelas, paket katanya mau di antar malam, tapi kurir konfirmasi motor abis minya, kng qt blng is minya lalu jawaban kurir nda ada doi,, ada lhe kurir bagitu 👎👎👎 …"
"FB andy Tata","1 bintang","setahun lalu","Salah si karna nda ada d rumah  mar bukang berarti nda mo ambe itu paket."
"Vivin Noflanti Terate","1 bintang","2 tahun lalu","Nd sopan skali eh dpe kurir² ad harap² mo antar² paket dgn seenaknya main² returt,pamalas kwa mo krja bkurir😡 …"
"V Sambuaga-Ang","1 bintang","2 tahun lalu","selalu kecewa dengan pelayanan di J&T di sini. paket selalu ta tahan, nda pernah mo trima kong tepat waktu. mohon diperbaiki lagi pelayanannya."
"Aldi makalew","1 bintang","3 tahun lalu","S bole tutup Jo ini ktr,Drg p kurir ja bge obat sto tllu Qt ad brng so t span'tu kurir kg klo b cht nd spn, kasr'drg p klakuan"
"Regina Eta","4 bintang","2 tahun lalu","Dateng kadang right on time. 4 star (mayan) bc paketnya pernah disuruh ambil sendiri 🤧 …"
"Melkisedek Kasiaheng","1 bintang","setahun lalu","Tidak pernah ada komunikasi dan informasi. Pertama kali saya pakai j&t dan mungkin yang terakhil kali."
"Conda Tairas","1 bintang","2 tahun lalu","S brpa kali b pesan, kurir samua nd ada sopan santun !"
"Merlyn Damar","1 bintang","3 tahun lalu","Peleyanan kurir jnt jelek, kurirnya suka gak sopan, parah sih jnt"
"KING WASINGTON KING TIMBAN","1 bintang","2 tahun lalu","Parah masa so di pesan malah nanyak pket nya mau diambil  ato nd 😪😮‍💨 …"
"Jeanete Suma","1 bintang","2 tahun lalu","Info jnt teling atas skrg spindah dmna? Kt pe paket so 1 blan nd antr2noh"
"Ninda Layrensia","1 bintang","3 tahun lalu","Parah dpe kurir nd ramah, kong malas ba antar dorang👎 …"
"Hiskia Tamon","1 bintang","2 tahun lalu","Sangat buruk, ntau ada sibuk apa sampe t paket nd bawa"""
"Prasetiyo Farm","2 bintang","2 tahun lalu","Ada pake express biar cepat sampe mar amper 2 minggu ndk sampe2 rumah 🤣 …"
"Denny Rondonuwu","2 bintang","2 tahun lalu","Alamat baru di mna kang JNt so tutup yg di 17 ini"
"Vivalum","1 bintang","3 tahun lalu","Parah,  pelayanan jelek..malas mengantar... Sdm pemalas"
"veiby rumais","1 bintang","2 tahun lalu","Kurir kurang bagus"
"Lian Supit","1 bintang","2 tahun lalu","sudah tutup.. google maps tidak akurat."
"Paulina Kawatu","1 bintang","2 tahun lalu","Jelek skali pelayanan sdm nya"
"Tahan Tawa","1 bintang","2 tahun lalu","Costumer hari di layani dengan baik"
"Jimmy Lumentut","1 bintang","2 tahun lalu","pelayanan yg kurang 👎 …"
"Onchy Rrm","1 bintang","2 tahun lalu","Kurir nda sopan"
"Ni Nyoman Suriantini","1 bintang","2 tahun lalu","Kurirnya 👊👎 …"
"dio cholens","1 bintang","2 tahun lalu","BAD EXPERIENCE"
"Hendrik Manossoh","1 bintang","sebulan lalu",""
"Jim Fotografi","1 bintang","2 bulan lalu",""
"martha Korakora","1 bintang","setahun lalu",""
"Sayangbati Samuel","1 bintang","2 tahun lalu",""
"Juan Mundung","1 bintang","2 tahun lalu",""
"Elsa Kesia Malonda","2 bintang","2 tahun lalu",""
"Lanny Karundeng","1 bintang","3 tahun lalu",""
"Gabriel Sadonda","5 bintang","3 tahun lalu",""
"Feronika Sumayku","5 bintang","3 tahun lalu",""
