Name,Rating,Time,Review Text
"Adi Nur Alim","5 bintang","5 tahun lalu","Sangat cepat, dikirim dari Palu tanggal 9 Maret 2020 hari Senin, tiba di Manado malam 11 Maret 2020, dan telah diantar 12 Maret 2020 Pagi ke saya, sempat ragu karena melihat banyaknya komentar orang-orang yang mengeluh atas pelayanan J&T, …"
"bang raman","1 bintang","7 tahun lalu","Tempat jasa pengiriman barang yang slow respon. Dan tidak bisa tepat waktu yang di tetapkan atau yang di jadwalkan Sangat mengecewakan …"
"Febby Balo","3 bintang","2 tahun lalu","Minta tolong dg tu Jnt Manado, jgn smbrang jga ba retur org pe paket. Blm kirim ka bitung mar so retur, trg ada pesan krna trg mo pake bkng nyanda. Jadi minta tolong sx jgn jga ba retur org pe paket sembarangan. Kalo nmau mo ba antar brg, jgn krja di Jnt !!"
"Vivi Novita","2 bintang","2 tahun lalu","PARAH !!!! Paket sudah dari tgl 17 Desember sampai di gudang sortir Manado sampai sekarang tgl 31 Desember belum diantar. Ini bukan pengalaman pertama kali. Paket yg lain …"
"Thania Maharani","1 bintang","2 tahun lalu","Ternyata sama Saja dng expedisi lain,belum konfirmasi ke penerima tiba2 paket dikembalikan,Alasan paket sdh diantar,tapi tdk pernah ngubungi penerima,terus peket dikembalikan,tlg perbaiki SDMnya...heran sy sama Manado ini..."
"Christy Chriz","1 bintang","setahun lalu","Tolong dang perbaiki lagi baik segi waktu pengiriman dan komunikasi deng customer sungguh beking saki kapala, paket cuma tPutar2, bukang alamat tujuan padahal jelas Sx dpe alamat, perlu adakan pengembangan skill le sto p karyawan, trg bgni karna ada alasan✅😏 …"
"Sisca Liawaty","1 bintang","2 tahun lalu","Bad experience! Setiap kali terima paket dari jnt ini pastii selaluuu gak safety!!! Buat keseelll udah dibuka dong paketnyaaaa terus ada yg di tempel ulang! Gak amanah! 👎 karna belanja dari Tiktok aja gak bisa milih ekspedisi jadi mau gak mau, kalo gak terpaksa mah mending gausah sih. …"
"Febri Oncos","1 bintang","2 tahun lalu","Tolong konfirmasi barang yg mau di kirim dari tgl 20-09-23 kok belum berangkat² juga?? Udah cek nomor resi tapi masih di proses terus, padahal udah 3 hari"
"christina taroreh","1 bintang","2 tahun lalu","Barang saya dari tgl 13, sdh ada pemberitahuan, untuk diantarkan, entah sampai kapan akan diantarkan,ini sdh 3hari,, barang sudah sama kurir tapi saya hubungi tidak ada balasan sama Skali, padahal wa aktif, J&T Manado Sangat lelet,,kecewa ..😭 …"
"Do don","2 bintang","3 tahun lalu","Dari tanggal 10 April keterangan di resi :' Paket sedang dibawa kurir menuju lokasi Anda'. sampai dengan 12 April blm muncul2 juga itu paket. padahal tgl 11 April JnT ada antar paket ke tempat ku.. di resi paket tgl harusnya di antar tgl 10 April lbih dlu tiba di Manado drpd paket yg diantar tgl 11 April.. bgmn sistem FIFO nya yaa.."
