Name,Rating,Time,Review Text
"missilia juventini90","5 bintang","3 bulan lalu","Trimakasih JNT cab.mapanget  ,kiriman saya mendarat dengan aman dan utuh. dari Manado-Jkt-Tarakan nggak sampai 4 hari paket sudah diantar. Mantap deh! Pertahankan ! …"
"Ferdinand Sudjana","1 bintang","3 bulan lalu","Talalu ribet masa barang so pake HardCover Plastik tebal dorang bilang musti bungkus dos😃😃😃 padahal lebe kuat tu hardcover plastik daripada dos. So itu jadi karyawan belajar spy tau apa fungsi HardCover …"
"Dhea Mamoh","1 bintang","4 bulan lalu","So nynda beres ini kurir² no. Drg da ba chat dri pagi², dpe laste smpe mlm nd antar2 itu paket. Kt da bru chat siang dng sore drg cma read. Da ba chat ulang mlm, Kong da bls blng ad ba antar di area laeng. Pdhl so butuh skli itu paket. So …"
"Christian Yanis","5 bintang","4 bulan lalu","Satu""nya Drop Point yang paling fair dan cepat proses pengiriman dan pengambilan barang"
"Refly Sapriyono","5 bintang","3 bulan lalu","Mantap, adminnya cantik"" dan ramah😍 Kurirnya gercep satset …"
"David Laulo","5 bintang","Diedit 3 bulan lalu","Mantap,room service sudah ber AC ,ada TV dan sangat nyaman untuk mengambil paket da kirim paket,ada tempat buat packing juga terbaik 👏🏽♥️ …"
"ORIGMA EVALINE DE RINO","5 bintang","3 bulan lalu","mantap... pelayanannya ramah. tempatnya bersih"
"ASWAR ABOKA","5 bintang","3 bulan lalu","Nyaman pengiriman cepat.pelayanan rama"
"Isran Lmni","1 bintang","setahun lalu","Pengalaman yg sangat buruk,kurir jnt 3x pesanan paket nda perna dia antar,mblas chat nda ada,s kse tau klu nda niat m antar kita mo pi ambe langsung di kantor,mar dia bilang barang so pa dia nnti dia antar ulang2 bgtu smpe tu baket mt return sendiri."
"Fenny Meivi Sarah Kilikily","5 bintang","7 bulan lalu","Tempat terdekat untuk kirim mengirim"
"Bilal Djaini","5 bintang","3 bulan lalu","Mantap pelayanannya jnt Mapanget"
"Christian Yanis","5 bintang","setahun lalu","Proses pengiriman cepat, setiap ada problem selalu di carikan solusi yang tidak merugikan customer"
"Ni Wayan Louisa","5 bintang","setahun lalu","Pelayanan admin dan staf sangat Gercep,, ramah dan tepat waktu. Semua paket aman dan tepat. …"
"March Dehaan","5 bintang","3 bulan lalu","Pengiriman cepat kurir gercep ⭐⭐⭐⭐⭐"
"Irfan Mufid Al-Mutawakkil","5 bintang","2 bulan lalu","Pelayanan ramah dan cepat."
"Ammar Thml99","5 bintang","3 bulan lalu","KURIRNYA GERCEP DAN PROFESIONAL 😍🫰 …"
"Farga Raffasya Pondaag","5 bintang","3 bulan lalu","Perumahan terbaik"
"Anastasya Korompu","5 bintang","3 bulan lalu","Pelayanan cepat dan ramah ⭐⭐⭐⭐⭐"
"Rexy Pontoh","1 bintang","2 minggu lalu","Slow"
"Abdur Rahman","1 bintang","11 bulan lalu","False operating time. It's closing by 4pm"
"Noviana Pattyranie","5 bintang","10 bulan lalu","Suasana aman"
"Damayani Andika","5 bintang","setahun lalu","mantap"
"Fj Bastian Dengah","5 bintang","10 bulan lalu","Easy to reach"
"Esti Monalis","5 bintang","setahun lalu","MANTAP"
"Sumya Antogia","1 bintang","6 hari lalu","Coba di pilih lagi untuk kurirnya, Karna kurir di J&T ini kurang jujur, Paket tidak di krm, dan tidak ada pemberitahuan, baru kasih ulasan …"
"Enay Raco","5 bintang","1 hari lalu",""
"4M Channel (Mee Nelwan)","5 bintang","Diedit sebulan lalu",""
"Bengkel Merpati Jaya NY","5 bintang","sebulan lalu",""
"Sherly Wairiky","5 bintang","3 bulan lalu",""
"Josua Rambi","5 bintang","3 bulan lalu",""
"alt _","5 bintang","3 bulan lalu",""
"Phantom","5 bintang","3 bulan lalu",""
"Fadila Lapagulu","5 bintang","3 bulan lalu",""
"Zulfikar Rahmat","5 bintang","3 bulan lalu",""
"Antares Aldevaro","5 bintang","3 bulan lalu",""
"Sheril Maahana","5 bintang","4 bulan lalu",""
"Berry Chr Watupongoh","4 bintang","4 bulan lalu",""
"Adhitya Dhover","1 bintang","11 bulan lalu",""
"Vhian Pongoh","5 bintang","11 bulan lalu",""
"Nia Ollshop","1 bintang","setahun lalu",""
"Dean Sandy","1 bintang","setahun lalu",""
"Skye","5 bintang","setahun lalu",""
"Anggie Marchelina","1 bintang","setahun lalu",""
"Made Kerty yasa","5 bintang","setahun lalu",""
"David Richi Moniung (Dave)","5 bintang","setahun lalu",""
