Name,Rating,Time,Review Text
"Ari Loom and Té","1 bintang","3 bulan lalu","Admin super aneh. Pengiriman paket DFOD di tolak admin dengan alasan paket Cod Ongkir harus bayar tunai dari sini, hah?! Saya bayar disini, penerima juga bayar disana maksudnya bagaimana?. Tanya di Cabang Wonasa admin sana bilang tidak …"
"Irgiansya lentedu","1 bintang","5 bulan lalu","Biasa kurir jba antr klu nd bisa cash boleh bayar lewat dana ato bnk lain, karna posisi qt di luar jadi qt minta mo krm jo lewat dana,ini dia minta cash abis itu serta sdi tampa dia suruh ba tunggu dari jam 6 sampe jam 9 laste dia bilang paket nanti mo antr besok, koreksi lagi kariawan yg jaga sepelekan castomer bgni 🙏🏻 …"
"filia papendang","5 bintang","10 bulan lalu","pengiriman cepat kurirnya ramah pkoknya the best"
"Manado Mdc","5 bintang","setahun lalu","Pengiriman cepat Kurir ramah dan sangat membantu Terima kasih"
"Lhastt Baaran","5 bintang","11 bulan lalu","Kurir yg paling thebestt ‼️"
"X-PLAY","1 bintang","2 bulan lalu","Kurir pemalas"
"Putri Egil","1 bintang","5 bulan lalu","Bkg npsu di kurirr' ad tguu'bilng MSI d smponi srt tlfnn blg dtg ambe j d kntor snyd b antr ,, b psti Jo ngoni d niat krja ato nydaaa shrsnya itu ngoni PE tnggjwabb dari LSM d byarrr dcki s tgu tgu plmaaaa"
"Bella Kapahese","5 bintang","sebulan lalu",""
"Djarjid MDO","1 bintang","5 bulan lalu",""
"Andi Punis","1 bintang","6 bulan lalu",""
"Ramz Jb","5 bintang","setahun lalu",""
"Umi NurAiny","5 bintang","setahun lalu",""
