Name,Rating,Time,Review Text
"vip hoki","1 bintang","3 bulan lalu","Usahakam bilang pa kurir, so jelas"" da lia harga sebelum antar. Kiapa nd se sadia uang kembalian. Bukan soal pelit ato apa, mar kalo so setiap pengantaran alasan bgtu noh bgaimna nd mo komplain."
"ivena Santiago","1 bintang","4 bulan lalu","Paket nda sampe” karna kurir nda antar kong kage so bilang paket dikembalikan 👎🏻👎🏻 …"
"Nouke Nouke","1 bintang","7 bulan lalu","Paling buruk, kiriman cod tidak pernah di atah SDH dikembalikan..."
"Alihasmi Dapi","1 bintang","10 bulan lalu","J&T cab Tutuyan kotornya minta ampun.warga masyarakat tetangga mengeluhkan masalah sampah dari pegguna gedung yg berserakan disekitar area."
"Adnan Sopian","1 bintang","2 tahun lalu","Kordinasi nya jelek banget udah komplen ke cc masih aja paket saya bulak balik, sebagai penjual saya merasa rugi sih kalo gini. Tgl 17 udah sampe manado skrg tgl 30 trackingannya masih bulak balik"
"Hanna Kitty","1 bintang","2 tahun lalu","Jasa pelayanan yang buruk. Kinerja sistem kerja yang gak bagus. Beda sama si cepat expres. Dari tanggal 27 Desember sampai detik ini di chek di drop point' selalu ngomong dua hari sampai dua hari sampai. Tolong donk di perbaiki kinerja pekerjanya."
"Elvira Madonsa","1 bintang","setahun lalu","Talalu lama biasa b pesan pake ini alamat Mar tiap trima brg slalu brg tumbuh sampe winangun"
"ari Tan","1 bintang","5 bulan lalu","Parah pengiriman via JNT"
"Sahat Pasaribu","1 bintang","2 tahun lalu","Paket dos besar boleh hilang!!!😡 tanggung jawab oii jangan Kase ta putar"" pakita …"
"Bash","1 bintang","2 tahun lalu","pengiriman terlalu lelet,kalah cepat dengan jasa kirim lain"
"Veronika A Mangambea","2 bintang","2 tahun lalu","Somo 1 minggu barang blm sampe🤦‍♂️ …"
"Nanda Gunawan","5 bintang","setahun lalu","Pelayanan baik, pengiriman cepat 🤍 …"
"crmy174","1 bintang","2 tahun lalu","ga becus"
"Yoseph Siagian","4 bintang","setahun lalu","BGus"
"Chacha Sah","5 bintang","seminggu lalu",""
"Desika Yiuli","5 bintang","2 bulan lalu",""
"Rudolf Manoppo","3 bintang","4 bulan lalu",""
"David Richi Moniung (Dave)","5 bintang","6 bulan lalu",""
"Danu Hardstick","1 bintang","9 bulan lalu",""
"RRQAlfiRoong Gaming","1 bintang","10 bulan lalu",""
"Simon Koloay","5 bintang","setahun lalu",""
"mege ryo","5 bintang","2 tahun lalu",""
"Sun Cloud","1 bintang","2 tahun lalu",""
"SHELAN CHANNEL","5 bintang","2 tahun lalu",""
